,eventid,iyear,imonth,iday,approxdate,extended,resolution,country,country_txt,region,region_txt,provstate,city,latitude,longitude,specificity,vicinity,location,summary,crit1,crit2,crit3,doubtterr,alternative,alternative_txt,multiple,success,suicide,attacktype1,attacktype1_txt,attacktype2,attacktype2_txt,attacktype3,attacktype3_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,targtype2,targtype2_txt,targsubtype2,targsubtype2_txt,corp2,target2,natlty2,natlty2_txt,targtype3,targtype3_txt,targsubtype3,targsubtype3_txt,corp3,target3,natlty3,natlty3_txt,gname,gsubname,gname2,gsubname2,gname3,gsubname3,motive,guncertain1,guncertain2,guncertain3,individual,nperps,nperpcap,claimed,claimmode,claimmode_txt,claim2,claimmode2,claimmode2_txt,claim3,claimmode3,claimmode3_txt,compclaim,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weaptype3,weaptype3_txt,weapsubtype3,weapsubtype3_txt,weaptype4,weaptype4_txt,weapsubtype4,weapsubtype4_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,property,propextent,propextent_txt,propvalue,propcomment,ishostkid,nhostkid,nhostkidus,nhours,ndays,divert,kidhijcountry,ransom,ransomamt,ransomamtus,ransompaid,ransompaidus,ransomnote,hostkidoutcome,hostkidoutcome_txt,nreleased,addnotes,scite1,scite2,scite3,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
194252,201903070008,2019,3,7,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in the Dasht-e-Barchi area of the 6th police district area.,"03/07/2019: Assailants fired mortars at a ceremony commemorating the anniversary of the death of a Shia Hazara leader in Dasht-e-Barchi, Kabul, Afghanistan. At least 11 civilians were killed and 95 people, including eight bodyguards, were injured in the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident. Sources also attributed the attack to the Taliban, which the group denied.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",Not Applicable,Abdul Ali Mazari Remembrance Ceremony,4.0,Afghanistan,2.0,Government (General),18.0,"Government Personnel (excluding police, military)",Government of Yemen,Officials,228.0,Yemen,,,,,,,,,Khorasan Chapter of the Islamic State,,Taliban,,,,"The specific motive is unknown; however, sources posited that the attack was related to a larger trend of sectarian violence in Afghanistan.",0.0,1.0,,0,-99.0,0.0,1.0,7.0,"Posted to website, blog, etc.",0.0,,,,,,,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,,,,,,,Mortars were used in the attack.,11.0,0.0,0.0,95.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Houses were damaged in this attack.,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""3rd LD Writethru: 6 killed, 23 injured after blasts hit New Year celebrations in Kabul,"" Xinhua General News Service, March 21, 2019.","""Death toll rises to 11 in Kabul mortar attack 95 others wounded,"" Global English (Middle East and North Africa Financial Network), March 8, 2019.","""Singapore: Blasts strike near major political gathering in Kabul,"" Channel NewsAsia Online, March 7, 2019.",START Primary Collection,0,1,1,1,
195902,201905080006,2019,5,8,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in the Shar Naw neighborhood in the 4th police district of the city.,"05/08/2019: A suicide bomber detonated an explosives-laden vehicle and assailants stormed Counterpart International, a United States (US) aid group, in the 4th Police District, Kabul, Afghanistan. At least fifteen people, including six assailants, were killed and another 20 people were injured in the attack. The Taliban claimed responsibility for the incident, noting that they targeted Counterpart International for intermixing genders and engaging in harmful Western activities.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,2.0,Armed Assault,,,12,NGO,62.0,International NGO,Counterpart International,Office,422.0,International,,,,,,,,,,,,,,,,,Taliban,,,,,,"The Taliban claimed responsibility for the incident and stated that the attack was carried out against Counterpart International for its involvement in the intermixing of genders and ""harmful Western activities.""",0.0,,,0,5.0,0.0,1.0,8.0,Personal claim,,,,,,,,6,Explosives,15.0,Vehicle,5.0,Firearms,5.0,Unknown Gun Type,,,,,,,,,,15.0,0.0,6.0,20.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Death toll in Taliban attack on international NGO in Kabul rises to 9,"" Deutsche Presse-Agentur, May 9, 2019.","""Taliban attacks US aid group in Kabul,"" BBC, May 8, 2019.","""Death toll of Kabul attack reaches 9,"" Global English (Middle East and North Africa Financial Network), May 9, 2019.",START Primary Collection,0,1,1,1,
197827,201907190003,2019,7,19,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident in the third police district of the city.,"07/19/2019: A suicide bomber detonated in front of Kabul University's southern gate as students were waiting to attend an exam in Third Police District, Kabul, Afghanistan. A second device was discovered and defused at the scene. At least nine people, including one assailant, were killed and 33 other people were injured in the blast. No group claimed responsibility for the incident; however, sources suspected the Taliban was responsible for the attack.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,8,Educational Institution,49.0,School/University/Educational Building,Kabul University,School,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,,1.0,,,0,1.0,0.0,0.0,,,,,,,,,,6,Explosives,15.0,Vehicle,6.0,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,9.0,0.0,1.0,33.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Two vehicles were damaged in this attack,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the majority reliable estimates are reported here.","""Suicide Bombing at University Kills 10 as Violence Surges in Afghanistan,"" New York Times, July 19, 2019.","""At least 10 people said killed in Kabul university attack,"" Tolo News, July 20, 2019.","""8 killed in blast outside Kabul University,"" MENA English (Middle East and North Africa Financial Network), July 19, 2019.",START Primary Collection,0,0,0,0,
198493,201908170005,2019,8,17,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,,"08/17/2019: A suicide bomber detonated an explosives-laden vest at the Dubai City wedding hall in Kabul, Afghanistan. At least 93 civilians were killed and 142 others were injured in the blast. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",Not Applicable,Wedding,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,93.0,0.0,1.0,142.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"The victims included families of the groom Mirwais Elmi and bride and civilians including guest Mohammad Aslim. Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Death toll in Afghanistan wedding blast rises to 80,"" Al Jazeera, August 21, 2019.","""At least 63 killed in Kabul wedding blast,"" Al Jazeera, August 18, 2019.","""Islamic State Claims Responsibility for Bombing That Killed 63, Injured 182 at Afghanistan Wedding,"" Time, August 18, 2019.",START Primary Collection,0,1,0,1,
200290,201911130001,2019,11,13,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in the 10th police district of the city.,"11/13/2019: A suicide bomber detonated an explosives-laden vehicle targeting a GardaWorld Security Company convoy in the 10th Police District, Kabul, Afghanistan. 13 people, including the assailant, were killed and 20 others were injured in the blast. No group claimed responsibility; however, sources attributed the attack to the Taliban.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,1,Business,13.0,Private Security Company/Firm,GardaWorld Security Company,Convoy,38.0,Canada,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,,,,,,,,,Taliban,,,,,,,0.0,,,0,-99.0,0.0,0.0,,,,,,,,,,6,Explosives,15.0,Vehicle,,,,,,,,,,,,,,13.0,0.0,1.0,20.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Three vehicles damaged,0.0,,,,,,,,,,,,,,,,,"""Afghanistan: Kabul car bomb kills 12, including kids,"" Al Jazeera, November 13, 2019.","""At least 6 killed in suicide bombing near military academy in Kabul,"" IBTimes Singapore, February 11, 2020.","""Afghanistan: Death toll in Kabul blast touches 12,"" IBNS, November 15, 2019.",START Primary Collection,0,1,1,1,
202723,202003060006,2020,3,6,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,,"03/06/2020: Assailants armed with projectiles and firearms attacked a commemoration ceremony for prominent Hazara Shia leader Anbdul Ali Mazari in Kabul, Afghanistan. At least 33 people were killed and 81 people were injured in the assault. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",Unknown,Commemoration Ceremony for Anbdul Ali Marzari,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,2.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,7.0,Grenade,6.0,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,"Hand grenades, rocket-propelled grenades (RPGs), and machine guns were used in the attack.",33.0,0.0,0.0,81.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"Casualty numbers conflict across sources. Following GTD protocol, the most recent reliable estimates are reported here.","""Death toll after Kabul attack rises to 33,"" dpa-AFX International ProFeed, March 7, 2020.","""ISIS release of assailants involved in deadly Kabul attack,"" MENA English (Middle East and North Africa Financial Network), March 7, 2020.","""32 civilians killed in attack on Kabul ceremony,"" Pajhwok Afghan News English, March 6, 2020.",START Primary Collection,0,1,0,1,
204216,202005120001,2020,5,12,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in Dasht-e-Barchi neighborhood.,"05/12/2020: Assailants armed with firearms and grenades attacked a maternity ward in Dasht-e-Barchi, Kabul, Afghanistan. At least 24 people, including three assailants, were killed and 16 others were injured in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Khorasan Chapter of the Islamic State. Sources also attributed the attack to the Taliban, which the group denied.",1,1,1,0,,,0.0,1,0,2,Armed Assault,,,,,12,NGO,62.0,International NGO,Doctors Without Borders (MSF),Maternity Clinic,422.0,International,14.0,Private Citizens & Property,67.0,Unnamed Civilian/Unspecified,Not Applicable,Civilians,4.0,Afghanistan,3.0,Police,25.0,Police Security Forces/Officers,Afghan Police,Officers,4.0,Afghanistan,Khorasan Chapter of the Islamic State,,Taliban,,,,,0.0,1.0,,0,3.0,0.0,0.0,,,0.0,,,,,,,6,Explosives,7.0,Grenade,5.0,Firearms,2.0,Automatic or Semi-Automatic Rifle,,,,,,,,,,24.0,0.0,3.0,16.0,0.0,0.0,1,4.0,Unknown,-99.0,Maternity ward damaged,0.0,,,,,,,,,,,,,,,,"The victims included new mothers, newborn infants, medical workers, and a police officer.","""Afghan maternity ward attackers 'came to kill the mothers',"" BBC, May 15, 2020.","""Kabul, Nangarhar attacks were carried out by Taliban: Amrullah Saleh,"" IBNS, May 17, 2020.","""US Blames IS For Kabul Maternity Attack, Urges Peace Process,"" International Business Times Australia, May 15, 2020.",START Primary Collection,0,1,1,1,
204938,202006120006,2020,6,12,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in police district 3 and Karte 4 area.,"06/12/2020: Assailants detonated an explosive device during Friday prayer at Sher Shah Suri Mosque in Karte 4 area, Kabul, Afghanistan. Four people were killed, including Imam Azizullah Mofleh, while eight others were injured. The Khorasan Chapter of the Islamic State claimed responsibility for the incident. Sources also attributed the attack to the Taliban, which denied involvement.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,15,Religious Figures/Institutions,86.0,Place of Worship,Sher Shah Suri Mosque,Mosque,4.0,Afghanistan,,,,,,,,,,,,,,,,,Taliban,,,,,,"The specific motive is unknown; however, sources suspected that the attack may have been part of an effort to disrupt the ongoing Afghan peace process.",1.0,,,0,-99.0,1.0,0.0,,,,,,,,,,6,Explosives,16.0,Unknown Explosive Type,,,,,,,,,,,,,,4.0,0.0,0.0,8.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,,"""Afghanistan Says It Has Arrested IS Militant Behind Clerics' Killings,"" Radio Free Europe, September 10, 2020.","""422 Security forces killed and wounded by the Taliban past week: NSC,"" Frontier Post, June 14, 2020.","""Afghanistan: Blast inside mosque kills 4, incl Imam,"" Muslim News, June 13, 2020.",START Primary Collection,0,0,0,0,
208237,202010240003,2020,10,24,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in Dasht-e-Barchi area.,"10/24/2020: A suicide bomber detonated their explosives in an alley near a tutoring center in Dasht-e-Barchi, Kabul, Afghanistan. In addition to the suicide bomber, 40 civilians were killed and 70 civilians were injured during the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,1,3,Bombing/Explosion,,,,,8,Educational Institution,49.0,School/University/Educational Building,Kawsa-e Danish Center,Tutoring Center,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,,0.0,,,0,1.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,13.0,Suicide (carried bodily by human being),,,,,,,,,,,,,An explosives-laden vest was used in the attack.,41.0,0.0,1.0,70.0,0.0,0.0,-9,,,,,0.0,,,,,,,,,,,,,,,,"The victims included Ali Reza. Casualty number conflict across sources, Following GTD protocol, the most recent reliable estimates are here","""Deadly suicide bombing hits Kabul educational centre,"" Al Jazeera, October 24, 2020.","""At least 10 killed, 20 injured in Afghan capital blast,"" Tolo News, October 24, 2020.","""Schoolchildren among 18 killed, 57 wounded in Kabul suicide attack; toll expected to rise,"" India Today, October 24, 2020.",START Primary Collection,0,1,0,1,
208297,202010270001,2020,10,27,,0,,4,Afghanistan,6,South Asia,Kabul,Kabul,34.523842,69.140304,1.0,0,The incident occurred in Char Qala area of the 10th police district.,"10/27/2020: An explosive device detonated targeting a civilian vehicle near the Afghan Interior Ministry in the 10th Police District, Kabul, Afghanistan. Three civilians were killed and another 10 civilians were injured during the attack. The Khorasan Chapter of the Islamic State claimed responsibility for the incident.",1,1,1,0,,,0.0,1,0,3,Bombing/Explosion,,,,,14,Private Citizens & Property,78.0,"Procession/Gathering (funeral, wedding, birthday, religious)",Not Applicable,Shia Procession,4.0,Afghanistan,,,,,,,,,,,,,,,,,Khorasan Chapter of the Islamic State,,,,,,"The Khorasan Chapter of the Islamic State claimed responsibility for this incident and stated that the incident was a part of their ""Answer the Call"" campaign aimed at increasing attacks by Islamic State of Iraq and the Levant (ISIL) supporters and affiliates.",0.0,,,0,-99.0,0.0,1.0,7.0,"Posted to website, blog, etc.",,,,,,,,6,Explosives,29.0,Sticky Bomb,,,,,,,,,,,,,A magnetic explosive device attached to a car was used in the attack.,3.0,0.0,0.0,10.0,0.0,0.0,1,3.0,Minor (likely < $1 million),-99.0,Vehicle damaged,0.0,,,,,,,,,,,,,,,,"Casualty number conflict across sources, Following GTD protocol, the majority reliable estimates are here","""1st LD Writethru: 3 civilians killed, 10 injured as blast hits car in Afghan capital,"" Xinhua General News Service, October 27, 2020.","""Blast kills three civilians in Afghan capital,"" Tolo News TV website, October 27, 2020.","""Afghan War Casualty Report: October 2020,"" NYTimes.com Feed, October 8, 2020.",START Primary Collection,0,1,0,1,
